song_id,entry_date,exit_date,total_days,peak_rank,avg_rank,peak_date,days_to_peak,artist,album_type,is_explicit,duration_ms,total_tracks,popularity,lifecycle_type
A 300-JC Reyes & Pedro Calderon,2024-08-06,2025-01-05,148,15,29.06081081081081,2025-01-05,152,JC Reyes & Pedro Calderon,single,False,169208,1,73,Long Runner
A 300-JC Reyes & Pedro Calderon & Blacknife,2025-01-06,2025-04-24,107,11,20.72897196261682,2025-01-14,8,JC Reyes & Pedro Calderon & Blacknife,single,False,169208,1,77,Long Runner
ACHO PR-Bad Bunny,2024-10-14,2024-10-20,7,15,30.428571428571427,2024-10-14,0,Bad Bunny,album,True,359647,22,0,Short Hit
ADIVINO-Myke Towers,2025-08-24,2025-11-16,85,10,31.75294117647059,2025-08-24,0,Myke Towers,album,True,278644,20,0,Long Runner
ADIVINO-Myke Towers & Bad Bunny,2025-04-28,2025-08-23,116,1,9.818965517241379,2025-04-28,0,Myke Towers & Bad Bunny,single,True,278644,1,77,Long Runner
ALAKRAN-Feid,2024-12-02,2024-12-05,3,24,39.333333333333336,2024-12-02,0,Feid,album,False,90613,10,0,Short Hit
AMANECIÓ-Quevedo,2025-11-24,2025-11-27,4,13,17.0,2025-11-24,0,Quevedo,album,False,255333,18,62,Short Hit
AMARGURA-KAROL G,2024-05-26,2025-10-31,153,16,32.76470588235294,2025-07-26,426,KAROL G,album,True,170480,17,85,Evergreen
APAGA EL CEL-FloyyMenor,2025-08-10,2025-09-04,14,22,38.57142857142857,2025-08-10,0,FloyyMenor,album,True,184806,7,6,Medium Run
APAGA EL CEL-FloyyMenor & Lewis Somes,2025-05-26,2025-08-09,75,7,18.76,2025-06-12,17,FloyyMenor & Lewis Somes,single,True,184806,1,74,Long Runner
APT.-ROSÉ & Bruno Mars,2025-10-23,2025-11-01,7,42,44.42857142857143,2025-10-30,7,ROSÉ & Bruno Mars,single,False,169917,1,88,Short Hit
AQYNE-Aitana,2024-09-27,2024-09-29,3,40,40.333333333333336,2024-09-28,1,Aitana,album,False,181426,15,71,Short Hit
ASI ES LA VIDA-Enrique Iglesias & Maria Becerra,2024-11-22,2025-03-23,66,38,45.166666666666664,2025-01-31,70,Enrique Iglesias & Maria Becerra,single,False,172095,1,83,Long Runner
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN)-Don Toliver,2025-06-21,2025-06-21,1,46,46.0,2025-06-21,0,Don Toliver,album,True,161053,16,69,Short Hit
AUNQUE LLEGUE OTRO (feat. Jay Wheeler)-Myke Towers,2025-08-24,2025-08-24,1,23,23.0,2025-08-24,0,Myke Towers,album,True,197800,20,0,Short Hit
AYER Y HOY-Mora,2024-08-30,2024-08-31,2,23,34.5,2024-08-30,0,Mora,album,True,317016,15,0,Short Hit
Acróstico-Shakira,2024-05-18,2024-07-09,53,1,18.339622641509433,2024-05-19,1,Shakira,single,False,170785,1,81,Long Runner
Akureyri-Aitana & Sebastian Yatra,2025-04-28,2025-06-01,34,10,27.88235294117647,2025-04-28,0,Aitana & Sebastian Yatra,single,False,194400,1,64,Medium Run
Alegría-Tiago PZK,2025-09-28,2025-10-05,8,8,20.0,2025-10-02,4,Tiago PZK,album,False,165054,14,73,Short Hit
All I Want for Christmas Is You-Mariah Carey,2024-12-03,2025-01-02,20,1,32.95,2024-12-25,22,Mariah Carey,album,False,241106,10,95,Medium Run
Alucin-Eugenio Esquivel & Grupo Marca Registrada & Sebastian Esquivel,2025-01-13,2025-04-05,35,21,39.48571428571429,2025-03-22,68,Eugenio Esquivel & Grupo Marca Registrada & Sebastian Esquivel,single,True,197114,1,89,Medium Run
Amanece-Anuel AA & Haze,2024-05-25,2025-07-06,15,47,48.53333333333333,2024-06-23,29,Anuel AA & Haze,single,False,190004,1,84,Medium Run
Amar De Nuevo-Rauw Alejandro,2025-11-17,2025-11-17,1,45,45.0,2025-11-17,0,Rauw Alejandro,album,True,268042,18,64,Short Hit
Andando-Morad,2024-05-18,2024-06-03,17,34,41.1764705882353,2024-05-19,1,Morad,album,True,261713,19,67,Medium Run
Antes-Rvfv & Edu García,2024-05-18,2024-07-22,58,29,42.0,2024-05-18,0,Rvfv & Edu García,single,False,153684,1,79,Long Runner
Antidepresivos-Saiko,2024-08-06,2024-12-19,136,13,29.779411764705884,2024-08-06,0,Saiko,single,False,145384,1,64,Long Runner
Arena y Sal-Omar Montes & Saiko & Tunvao,2024-05-21,2025-01-20,242,3,20.024793388429753,2024-08-06,77,Omar Montes & Saiko & Tunvao,single,False,174415,1,59,Evergreen
Arranca (feat. Omega)-Becky G & Omega,2024-05-18,2024-07-25,69,38,44.21739130434783,2024-05-18,0,Becky G & Omega,single,False,166529,1,82,Long Runner
Ayer-DELLAFUENTE,2025-06-16,2025-06-18,2,37,43.0,2025-06-16,0,DELLAFUENTE,album,False,155700,10,30,Short Hit
BABY HELLO-Rauw Alejandro,2024-07-09,2025-04-19,281,3,23.206405693950177,2024-07-09,0,Rauw Alejandro,album,True,222461,14,0,Evergreen
BABY HELLO-Rauw Alejandro & Bizarrap,2024-06-25,2024-07-08,14,2,2.5714285714285716,2024-06-28,3,Rauw Alejandro & Bizarrap,single,True,222461,1,71,Medium Run
BABY NUEVA-Bad Bunny,2024-10-14,2024-10-28,15,12,31.666666666666668,2024-10-14,0,Bad Bunny,album,True,240773,22,0,Medium Run
BAD BOY-Chris Jedi & Gaby Music & Dei V,2025-02-11,2025-03-10,28,16,25.17241379310345,2025-02-11,0,Chris Jedi & Gaby Music & Dei V,single,True,235146,1,58,Medium Run
BADGYAL-SAIKO,2025-04-28,2025-11-23,208,1,10.846153846153847,2025-05-01,3,SAIKO,album,True,253962,16,65,Evergreen
BANDIT-Don Toliver,2025-06-21,2025-06-21,1,27,27.0,2025-06-21,0,Don Toliver,album,True,147706,16,69,Short Hit
BATICANO-Bad Bunny,2024-10-14,2024-10-18,5,23,32.6,2024-10-14,0,Bad Bunny,album,True,256000,22,0,Short Hit
BBY BOO - REMIX-iZaak & Jhayco & Anuel AA,2025-03-30,2025-07-23,115,5,18.043478260869566,2025-04-18,19,iZaak & Jhayco & Anuel AA,single,True,275862,3,63,Long Runner
